perdit;"perdo, perdere, perdidī, perditum to cause, either actively or through negligence, to be destroyed: (actively) to destroy, wreck, ruin; (through negligence) to lose, ruin"
promittit;prо̄mitto, prо̄mittere, prо̄mīsī, prо̄missum to make a claim with great assurance: to promise, swear, make an oath
pudet;"pudet  (impersonal; + acc. (of person) + gen. (of object)) to have discomfort due to unwanted attention or dereliction of duty: is embarassed, is ashamed, has shame"
rubet;rubeo, rubēre to have a reddish color: to be red, be ruddy, glow red, blush
solvit;solvo, solvere, solvī, solūtum (generally) to undo something: (of money owed) to pay, pay off
tradit;trādo, trādere, trādidī, trāditum (lit.) to give over: to hand over, deliver into someone's possession, give over
ob;ob (+ acc.) preposition showing cause: on account of, because of
dolor;dolor, dolо̄ris, m. unpleasantness, physical or emotional: pain, ache, discomfort
latus;latus, lateris, n. the extremity on the right or left of something: the side, flank, wing
os;"os, ossis, n. a hard structural component of the body: bone; (of the head) skull"
sonus;sonus, ī, m. that which can be heard: a sound, noise, tone
strepitus;strepitus, ūs, m. a loud, unpleasant noise: racket, crash, clatter, din, roar
tumultus;tumultus, ūs, m. a chaotic (frequently violent) commotion: a ruckus, hubbub, free-for-all, rumpus, still, tumult, uproar
aegrotus;aegrо̄tus, a, um that which is not healthy due to illness or injury: unwell, sick, diseased, ill, injured
cruentus;cruentus, a, um covered in blood and gore: bloody, bloodied, gory
impar;impār,  (gen  impāris ) unequally matched: uneven, unequal, dissimilar, outmatched, outdone
laevus;laevus, a, um located on the left hand side: left, on the left hand, on the left side
par;pār, pāris equally matched: even, equal, like
subitus;subitus, a, um that comes about without warning: sudden, unexpected, inopportune
convertit;converto, convertere, convertī, conversum to turn around completely: to turn around, wheel around, turn back
cupit;cupio, cupere, cupīvī, cupītum to have a strong, passionate desire for something: to desire, long for
flet;fleo, flēre, flēvī, flētum to shed tears and wail from grief: to weep, mourn, cry
frangit;frango, frangere, frēgī, fractum to cause something to split into many pieces: to break, shatter, fracture, crack
ignorat;ignо̄ro, ignо̄rāre to have no knowledge of something: to be unaware, be ignorant of, not know
miratur;miror, mirārī to stare in amazement at: to be amazed at, be surprised by, marvel at, gape at, gawk at
noscit;nо̄sco, nо̄scere, nо̄vī, nо̄tum to acquire knowledge of something: to become acquainted with (someone or something), learn of, come to know, obtain knowledge of
patitur;patior, patī, --, passus sum to undergo some experience--usually negative: to undergo, endure, suffer, bear
percutit;percutio, percutere, percussī, percussum to strike, especially with a weapon: to hit, knock, clip, cuff, slash, bash, stab
recumbit;recumbo, recumbere, recubuī, recubitum to assume a position lying on the back: to lie back, lie down, recline
iuxta;iuxtā  (+ acc.) located immediately next to: next to, near, near by, adjacent to,
aedificium;aedificium, ī, n. a permanent artificial structure: building, structure
agnus;agnus, ī, m. the young of a sheep: lamb
auxilium;auxilium, ī, n. the act of helping another: help, aid, assistance, succor
civis;cīvis, cīvis, m. an official member of a city with special rights: citizen
conspectus;conspectus, ūs, m. the entire range of what can be seen: a view, sight
cupiditas;cupiditās, cupiditātis, f. a passionate or inappropriate desire: a passion, desire, wish, lust, longing, appetite, greed, hunger
currus;currus, ūs, m. a horse-drawn vehicle for one or two standing passengers: a chariot
exitus;exitus, ūs, m. the act of going out: a going out, departure, exit, escape
expugnatio;expugnātiо̄, expugnātiо̄nis, f. the violent taking of a city or the like: a sack, sacking, conquest
fabula;fābula, ae, f. a narrative, especially if entertaining and likely false: a story, tale, fable, legend, myth, tall tale
filum;fīlum, ī, n. strands of fiber twined together: a thread, string, line, cord
gloria;glо̄ria, ae, f. widespread and excellent reputation: glory, magnificence, majesty, splendor
labyrinthus;labyrinthus, ī, m. a building with irregular passages such that it is almost impossible to find the exit: labyrinth, maze
litus;lītus, lītoris, n. the outermost edge of a landmass: shore, coast, beach
moenia;moenia, ium, n.  (usually plural) defensive build-up around a city or citadel: defensive walls, ramparts, fortifications, bulwarks
monstrum;mо̄nstrum, ī, n. i) a supernatural occurrence (esp. signifying divine anger): a portent, bad omen ii) a living or inanimate thing with a grotesque form: a monster, freak
mora;mora, ae, f. inconvenient passage of time: delay, hold up, hindrance, obstacle
mors;mors, mortis, f. the cessation of life: death, extinction, demise
narratio;narrātio, narrātiо̄nis, f. the act of telling events in order: a telling, narration, narrative
nex;nex, necis, f. the act of ending life by force: killing, slaying, murder, homicide
rex;rēx, rēgis, m. man who rules alone: king, monarch, despot, ruler, tyrant
saxum;saxum, ī, n. a large rock, whether partially or completely above ground: boulder, crag
taurus;taurus, ī, m. a male cow: bull, ox, bullock
complures;complūrēs, complūrium  (plural) of substantial number: several, many, more than a few
cupidus;cupidus, a, um that has a great desire: desirous, wanting, covetous
humilis;"humilis, is, e (lit.) near the ground: low, down low, lowly; humble"
mirabilis;mīrābilis, is, e that causes awe and wonder: amazing, wonderful, surprising, marvelous, stunning, awe-inspiring
paratus;parātus, a, um that has been equipped with everything necessary for some purpose: prepared, ready, equipped
saevus;saevus, a, um that wants to cause harm: bloodthirsty, fierce, aggressive, savage
terribilis;terribilis, is, e that incites fear in others: terrifying, scary, intimidating, creepy
timidus;timidus, a, um that has fear: scared, timid, nervous, terrified
aedificat;aedifico, aedificāre to make a structure: to build, construct, erect 
constituit;constituo, constituere, constituī, constitutum to make up one's mind on a future course: to decide, resolve
descendit;dēscendo, dēscendere, dēscendī, dēscensum to travel in a downward direction: to go down, descend, climb down
deserit;dēsero, dēserere, dēseruī, dēsertum to depart without a person who is in need of aid: to abandon, desert, leave behind, maroon
interficit;"interficio, interficere, interfēcī, interfectum to cause someone or something to be destroyed: to kill, slay, murder, put to death; to destroy, abolish"
maeret;maereo, maerēre to be sorrowful (especially because of a death): to mourn, grieve at
necat;neco, necāre to put to death: to kill, slay, murder
obliviscitur;oblīvīscor, oblīvīscī, --, oblītus sum (lit.) to become darkened: to forget, be forgetful, let slip, be heedless, be unmindful
occidit;occīdo, occīdere, occīdī, occīsum (lit.) to cut down: to slay, kill, murder
patet;pateo, patēre to be open or accessible: to be open, lie open
pollicetur;polliceor, pollicērī to make a confident proclamation: to promise, swear, take an oath
prospicit;prо̄spicio, prо̄spicere, prо̄spēxī, prо̄spectum (lit.) to look forth: to look out, survey
regit;rego, regere, rexī, rectum (lit.) to make straight: to guide, steer, govern, direct, control, etc.
trahit;traho, trahere, traxī, tractum to exert force by a pulling motion: to pull, drag, draw
vorat;"voro, vorāre to transfer from the mouth to the stomach: (lit.) to swallow; (trans.) to devour, gobble down"
ars;ars, artis, f. the practical knowledge requisite to do something: skill, technique, art (in the old sense), mastery, know-how, expertise, proficiency
carcer;carcer, carceris, m. a place for containing people by force, usually for criminals or slaves: prison, jail, dungeon, cage
consilium;cо̄nsilium, ī, n. a conclusion for action arrived at with some consideration: a plan, counsel, strategy, intent, idea
fuga;"fuga, ae, f. the act or opportunity of running away: flight, escape; way of escape"
ignis;ignis, ignis, m. combustion of any sort: fire, flame, blaze, combustion
lacertus;lacertus, ī, m. the portion of the arm between the shoulder and the elbow: upper arm, bicep
libertas;lībertās, lībertātis, f. the state of being free: freedom, liberty
multitudo;multitūdо̄, multitūdinis, f. a large group: a multitude, host, lot, etc.
natura;nātūra, ae, f. (lit.) how one was born: (one's) nature, innate character
orbis;orbis, is, m. a circular shape: circle, sphere, orb, ring, etc.
opus;opus, operis, n. the product of someone's labor: work, product, handiwork, creation
penna;penna, ae, f. horny structure that forms the covering of birds: feather, plume, quill
paeninsula;paeninsula, ae, f. a landmass that juts far out into the ocean: peninsula, promontory, headland
casus;casus, ūs, m. the act of falling: a fall, drop, plunge, plummet
celer;celer, celeris, celere that moves quickly: swift, fast, quick, speedy
reliquus;reliquus, a, um that which is left behind: remaining, leftover, residual
audax;audāx,  (gen:  audācis) that which dares: bold, daring, fearless, dauntless, unafraid
liber;līber, lībera, līberum that is not bound: free, unbound, untethered, sovereign
studiosus;studiо̄sus, a, um that has great zeal about doing something: eager (to do something), excited about (something), into (something)
ingens;ingēns,  (gen:  ingēntis ) that which is of great size: huge, massive, enormous, gigantic
infimus;īnfīmus, a, um  (superl. of  inferus ) that which is located at the lowest point: the bottom, lowest
summus;summus, a, um  (superl. of  superus ) that which is located at the highest position: the top, highest, utmost
cautus;cautus, a, um that considers the danger of a thing: cautious, careful, circumspect
temerarius;temerārius, a, um that takes no consideration for one's safety: rash, thoughtless, heedless, reckless, audacious
propinquus;propinquus, a, um  (+ gen. or dat.) that which is located nearby: near, nearby, close, adjacent, in the proximity of
persequitur;persequor, persequī, --, persecūtus sum to follow to the end: to pursue, chase down, hunt down, persecute
consequitur;consequor, consequī, --, consecūtus sum to follow up upon: to catch up to
conficit;conficio, conficere, confēcī, confectum (lit.) to do completely: to finish, complete
consumit;consūmo, consūmere, consumpsī, consumptum (lit.) to take up completely: to use up, consume
invenit;invenio, invenīre, invēnī, inventum (lit.) to come upon: to find, discover, come across, bump into
effugit;effugio, effugere, effūgī, effugitum (lit.) to flee out of: to escape, slip away from, evade, flee, fly
iuvat;iuvo, iuvāre, iuvī, iutum, iuvātum to lend aid to one in need: to help, assist, aid, succor
excogitat;excо̄gito, excо̄gitāre (lit.) to devise something new by some hard thinking: to devise, contrive
imitatur;imitor, imitārī, --, imitātus sum to make a likeness: to imitate, mimic, duplicate, reproduce, clone, reflect, ape
evolat;ēvо̄lo, ēvо̄lāre (lit.) to fly off: to take off, take flight, fly up
perficit;perficio, perficere, perfēcī, perfectum (lit.) to do thoroughly: to finish, complete, perfect
mollit;
figit;fīgo, fīgere, fīxī, fīxum to cause something to stay on something else: to fix, fasten, nail, drive in, hook, hang, glue, etc.
levat;levo, levāre (lit.) to make something light: to lift up, raise, lighten, alleviate
urit;ūro, ūrere, ūssī, ūstum to destroy by fire: to burn, singe, char, cremate
suspicit;"suspic(i)o, suspicere, suspēxī, suspectum to look upwards: to look up, gaze up; (with mistrust) to look askance at, be suspicious of"
despicit;"dēspicio, dēspicere, dēspēxī, dēspectum to look down upon: to look down, look down at; (with contempt) to despise"
accidit;accido, accidere, accidī (lit.) to fall to: (of fortune) to fall to one's lot, occur, come to pass, happen
quatit;quatio, quatere, --, quassum to cause something to move back and forth: to shake, agitate, rattle, cause to tremble
aberrat;aberro, aberrāre to depart from the expected way: to wander away, stray from, diverge from, err
ager;ager, agrī, m. a field where some sort of crop is grown: a crop field, field, farmland
frumentum;frūmentum, ī, n. any grain crop: emmer, barley, wheat
agricola;agricola, ae, m. one who cultivates farmland: a farmer, grower
negotium;negо̄tium, ī, n. a matter of business to be attended to: a matter of business, a task, job, chore, duty, errand, etc.
aratrum;arātrum, ī, n. a tool drawn behind a draft animal to break up hard soil before planting: a plow, till
instrumentum;instrūmentum, ī, n. anything that is employed to assist in some activity: a tool, instrument, aid, device, equipment, apparatus, etc.
semen;sēmen, sēminis, n. the part of a plant that contains the living germ from which a new plant grows: a seed
falx;falx, falcis, f. a hook-shaped tool used to cut: a scythe, sickle, pruning hook, pruning knife
regio;regiо̄, regiо̄nis, f. a portion of land: region, area, territory
fructus;fructus, fructūs, m. what is produced by anything and enjoyed: the fruit, the product, the profit, the reward
pecus;pecus, pecoris, n. domesticated herd animals of any kind: livestock, cattle, sheep, swine, horses, etc.
fruges;frūgēs, frūgium, f.  (usually plural) the produce of garden, field, or orchard (more specific and concrete than  fructus ): produce, fruits, vegetables, grains, etc.
pabulum;pābulum, ī, n. that which feeds, especially in reference to livestock: fodder, forage, pasturage
lana;lāna, ae, f. the hair of sheep or similar animals: wool
copia;cо̄pia, ae, f. an ample supply of something: a supply, abundance, store
uva;uva, ae, f. the fruit of the vine: a grape
vitis;"vītis, is, f. a plant that creeps up some kind of support, especially that produces grapes: (generally) vine; (specifically) grapevine"
vinea;vīnea, ae, f. a field where grapevines are cultivated: a vineyard
vinum;vīnum, ī, n. the fermented product of pressed grapes: wine
praedium;praedium, ī, n. a country villa with its attached farmland: an estate, a property
labor;labor, labо̄ris, m. intense exertion (usually physical), difficult work (always negative): toil, labor, trouble, pains, exertions, drudgery, travail
rus;rūs, rūris, n.  (loc:  ruri ) the area cultivated by farmers, as opposed to the city: the country, the countryside, farmland
otium;о̄tium, ī, n. time free of business: leisure, free time, quiet, retirement
colonus;colо̄nus, ī m. a free farmer who rents land from a landlord: a tenant-farmer, sharecropper, peasant, peon
patientia;patientia, ae, f. the ability to withstand something unpleasant: tolerance, long suffering, endurance, hardiness, patience (if used in respect to waiting)
cura;cūra, ae, f. the attention given to a matter: care, responsibility, attention, trouble (in a good sense), concern, worry (about one's responsibilities), stress (from thinking about one's responsibilities)
prex;prex, precis, f. a request offered from a humble position: a humble request, entreaty, prayer, petition, supplication
calor;calor, calо̄ris, m. the quality of hot things: heat, hotness
frigus;frīgus, frīgoris, n. the quality of cold things: cold, coldness, coolness, iciness, chill
grex;grex, gregis, m. a group of anything: a group, multitude, herd, flock, pack, bunch, drove, gaggle, school, etc.
amoenus;amoenus, a, um that which pleases the eyes, but only used of physical objects or places: beautiful, charming, delightful, cute, etc.
maturus;matūrus, a, um that has reached its proper time: ripe, seasoned, mature
immaturus;immatūrus, a, um that has not reached its time: unripe, green, immature, unseasoned
rudis;rudis, is, e that has not been shaped or refined: crude, rough, unrefined, unsophisticated
fertilis;fertilis, is, e that which bears much fruit: fertile, productive, rich, lush, fecund, prolific, teeming, etc.
urbanus;urbānus, a, um of or associated with the city: city (adj), urban, metropolitan
patiens;patiens,  (gen:  patientis ) that is able to tolerate something unpleasant: tolerant, long-suffering, enduring, tough
rusticus;rūsticus, a, um of or associated with farmland: country (adj), rustic
gravidus;gravidus, a, um that is with child: pregnant, expecting, gravid
siccus;siccus, a, um that lacks moisture: dry, arid, parched
neglegens;neglegens,  (gen:  neglegentis ) that gives no attention or concern to something: careless, unconcerned, indifferent, irresponsible, negligent
nequam;nēquam  (indecl.) that has no use or value: worthless, good-for-nothing, no good, useless
inhumanus;inhumānus, a, um that lacks the qualities of a human, especially with regard to common charity: inhumane, unfeeling, heartless, pitiless, callous, hardened
quiescit;quiēsco, quiēscere, quiēvī, quiētum to be at rest: to rest, repose, be relaxed, be still, be idle
cingit;cingo, cingere, cinxī, cinctum to encircle something: to circle, encircle, go around, surround, encompass, enclose, gird
crescit;crēsco, crēscere, crēvī, crētum to become larger: to grow, increase, wax
metit;meto, metere, messuī, messum to cut and harvest an agricultural product: to mow, reap, harvest, cut, gather in
arat;aro, arāre to break up the soil of a field with a plow before planting: to plow, till
serit;sero, serere, sēvī, sātum to sow seeds on a field: to plant, sow, seed
colit;colo, colere, coluī, cultum to take care of and maintain something, especially a field: to tend, tend to, cultivate, maintain
spargit;spargo, spargere, sparsī, sparsum to cast here and there: to toss about, scatter, sprinkle, spatter, strew, pepper, shower
utitur;ūtor, ūtī, --, ūsus sum  (+ abl.) to make use of something: to use, employ, utilize, exercise
pascit;pasco, pascere, pāvī, pastum to supply with food, especially in reference to livestock: to feed, pasture, lead to pasture
invehit;inveho, invehere, invexī, invectum to transport into a place: to ship in, truck in, transport in, import
rigat;rigo, rigāre to supply with water: to water, moisten, wet, irrigate
laborat;"labо̄ro, labо̄rāre to do very hard work or struggle: to toil, labor, slave away; to struggle, have trouble"
existimat;existimo, existimāre to hold something as an opinion: to think, believe, hold, judge, reckon, etc.
censet;censeo, censēre, censuī, censum to hold something as an opinion: to think, believe, hold, judge, reckon, etc.
proicit;proicio, proicere, proiēcī, proiectum to cast in a forward direction: to cast forward, throw forward, launch forward, project
orat;oro, orāre to make a humble request: to beg, entreat, beseech, pray
rapit;rapio, rapere, rapuī, raptum to take something violently or with great speed: to sieze, snatch, plunder, pillage, carry off, tear away, etc.
neglegit;neglego, neglegere, neglexī, neglectum to fail to give attention to something: to neglect, slight, disregard, not heed
prodest;prо̄sum, prо̄desse, prо̄fuī, prо̄futūrus ( + dat.) to be to the advantage of something: to profit, benefit, aid, assit, help, support
nocet;noceo, nocēre  (+ dat.) to be harmful to something: to harm, hurt, injure, hinder
prohibet;prohibeo, prohibēre to keep something from something: to hold back, keep back, keep away, prevent, hinder, avert, keep off, etc.
saccus;saccus, ī, m. a large container made of coarse linen cloth: a bag, sack
vacuus;vacuus, a, um that has nothing in it or on it: empty, bare
sacculus;sacculus,, m. a small bag or sack: pouch, purse
pecunia;pecūnia, ae, f. wealth in any form: money, wealth, riches, currency, cash
nummus;nummus, ī, m. a standard weight of precious metal pressed with an official seal: coin, cash
mensa;mēnsa, ae, f. a flat piece of furniture for putting things on: a table, counter
baculum;baculum, ī, n. a largish stick used for walking or leaning on: walking stick, cane, staff
nullus;nullus, a, um  (gen:  nullius , dat:  nulli ) not including any: none, no examples: nulla pecunia = no money nulli viri = no men, none of the men
suum;suum, am, um  (not often used in nominative) belonging to the subject: one's own, his own, her own
sumit;sumo, sumere, sumpsī, sumptum to take up into one's possession: to pick up, take, get, receive
abest;absum, abesse, abfuī, abfutūrum to be away: to be absent, not present, not here
salutat;salūto, salūtāre to give a greeting to someone: to greet, hail, say hello to
accusat;accūso, accūsāre to make a charge against someone: to accuse, blame, charge (someone) with
adest;adsum, adesse, adfuī, adfutūrum to be present: to be here, be at hand, be on site
tacet;taceo, tacēre to make no noise: to be silent, remain silent, be quiet, shut up
imperat;impero, imperāre to issue a command: to command, order, give an order
discedit;discēdo, discēdere, discessī, discessum to go away from: to depart, step away, go off, leave  
paret;pāreo, parēre to show obedience: to obey, acquiesce, comply
timet;timeo, timēre to experience anxiety in anticipation of death or pain: to be afraid, fear, be scared
et;et conjunction joining two or more items in parallel: and, as well as
sed;sed conjunction adjoining something in contrast to what was previous: but, however
non;nо̄n negative adverb used in indicative sentences: not, hardly
quoque;quо̄que adverb indicating an addition of a similar nature to what was previous
-ne;-ne enclitic particle on the first word indicating a yes or no question: is it so?, yes or no?
num;num question word introducing a yes or no question where a no is expected: it is not so, is it?, surely not?
-que;-que enclitic particle indicating an addition of equal importance to what was previous: as well, too, and
rursus;rūrsus adverb showing that an action is a repetition: again, anew, a second time, another time
tantum;tantum adverb showing that there is no more other than what has been stated: only, and that's it, mere
etiam;etiam adverb indicating an addition of a similar nature to what was previous: also, likewise, similarly
autem;autem postpositive conjunction adjoining something in contrast to what was previous: however, be that as it may, on the other hand
itaque;itaque conjunction introducing a consequence of what was previous: for this reason, therefore, and so, thus, consequently
nam;nam conjunction introducing an explanation or expansion of the previous: for, after all, (you see)
tam;tam demonstrative adverb meaning to such a degree: to such a degree, to such an extent, so
quam;quam conjunction introducing a point of comparison: than, as, in comparison to
unde;unde question asking for a source: from where, from what origin, whence
immo;immо̄ adverb introducing a contradiction or sometimes correction to a previous statement: not at all, you have it wrong, on the contrary
et ... et;et  ...  et parallel conjunctions giving two or more items of equal importance: both ... and, ... and ...
neque ... neque;neque parallel conjunctions giving two or more negative items: neither ... nor, not ... nor
nonne;nо̄nne question word introducing a yes or no question where a yes is expected: isn't it so that?, is it not?, right?
dum;dum conjunction introducing a temporal clause showing what is happening at the same time: while, when
ut;ut conjunction that (among other things) can introduce a simile: as, like, in the same way as, like how
ergo;ergо̄ conjunction introducing a logical consequence of what was previous: therefore, consequently, as a natural result of which we may conclude
quod;quod therefore, consequently, as a natural result of which we may conclude: therefore, consequently, as a natural result of which we may conclude
cum;cum therefore, consequently, as a natural result of which we may conclude: when, at the same time as
enim;enim conjunction introducing an explanation or expansion of the previous: after all, you see
bene;bene in a good way or manner: well, in a good way, in a good manner, in good form
male;male in a bad way or manner: badly, poorly, without skill
modo;modo adverb showing that there is no more other than what has been stated: only, and that's it, merely
atque;atque conjunction joining two or more items in parallel: and, as well as
nec;nec conjunction joining a negative item: and not, nor, neither
ac;ac conjunction joining two or more items of equal importance: and, as well as
item;item adverb indicating an addition of a similar nature to what was previous: in like manner, likewise, similarly
nunc;nunc at this present time: now, at this time
tunc;tunc then, at that time, at that other time
quando;quāndo question asking for time when: at what time? when?
igitur;igitur conjunction introducing a consequence of what was previous: therefore, consequently, then
vel;vel conjunction introducing an inclusive option: or, or just as easily
adhuc;adhūc adverb showing continuation up until the present time: still, up to this point, even now
primum;prīmum pseudo-adverb introducing the first in a series of items: first, first of all, 1)
deinde;deinde adverb introducing a subsequent item in a list: and then, then, subsequently, thereupon
hodie;hodiē (lit.) on this day: today, this day
quomodo;quо̄modo question asking for means: in what way?, in what manner?, how?
an;an conjunction introducing an exclusive option in a direct question: ... or ...?
scaena;scaena, ae, f.  the structure itself upon which a play is conducted or a segment of play where the setting is the same: stage, scene
persona;"persо̄na, ae, f.  (lit.) a mask, but usually meaning the character under the mask: mask; character"
laetus;laetus, a, um  in uplifted spirits: happy, joyful, in high spirits
iratus;irātus, a, um desiring revenge in return for injury: angry, irate, wrathful, enraged
probus;probus, a, um  found to meet someone's standard: good, honorable, well-behaved, acceptable, approved of
improbus;improbus, a, um  found not to meet standards: bad, unacceptable, dishonorable, crooked, unrighteous
cantat;canto, cantāre  to make music: (with the voice) to sing, (with an instrument) to play
ostium;"ostium, ī, n.  a means of entering a place: an entrance, door; (of a river or cave) a mouth"
pulsat;"pulso, pulsāre  to strike, usually with the hand or foot: to knock; to hit"
plorat;plо̄ro, plо̄rāre  to show distress with wailing: to weep, cry, wail
ridet;rīdeo, rīdēre, rīsī, rīsum  to show mirth when something is humorous: to laugh, mock, scorn
vocat;voco, vocāre  to speak out someone's name: to call, name, summon
interrogat;interrogo, interrogāre  to ask a question of: to ask, question, interrogate
respondet;respondeo, respondēre, responsī, responsum  to give an answer: to answer, respond, reply
dormit;dormio, dormīre  to be unconscious: to sleep, be out
verberat;verbero, verberāre  to deliver repeated blows: to beat, whip, spank
iam;"iam at this present time: now, at this time; (with perfect tense) already; (with negative) any more"
hic;hīc at this location: here, in this place
cur;cūr question asking for the cause: for what reason, why, on account of what
neque;neque conjunction joining a negative item: and not, nor, neither
quia;quia conjunction introducing a clause answering the question why: because, for the reason that, as
paulum;paulum, ī, n. a small quantity: a little, a bit, a tad
semper;semper at all times and without end: aways, all the time, ever, without end
simul;simul at the same time as something else: simultaneously, at once, at one time, at the same time
vix;vix with such great difficulty that it almost did not occur: barely, scarcely, just
praeterea;praetereā introduces an addition: additionally, also, what's more, on top of that, over and above that
iterum;iterum indicates a repetition: again, a second time, once more, and again
sive;sīve conjunction introducing an inclusive option: or, or (if you like), or (if you prefer), or just as easily
vero;vērо̄ postpositive conjunction introducing a new clause in contrast to what came before: but in truth, however, but in reality
propter;propter  (+ acc.) preposition showing the cause: because of, on account of, by reason of
quisque;quisque, quaeque, quodque  (acc.  quemque , gen.  cuiusque , dat.  cuique , abl,  quо̄que ) identifies each individually out of a group: each, every single, every one individually
tot;tot demonstrative pointing out number: that many, so many, as many as that
postremo;postrēmо̄ adverb introducing the last in an order of events: at last, in the last place, finally, at the end
usque;ūsque indicates every point between: all the way, the whole way, at every point between
numquam;numquam at no time at all: never, not ever, at no time
saepe;saepe at many times: often, many times, frequently
quamquam;quamquam conjunction introducing a subordinate clause in contrast to the main clause: although, even though, even granted
quare;"quārē question or sometimes relative adverb dealing with cause: (as a question) for what reason?; (as a relative adverb) for which reason, wherefore, therefore"
idem;īdem, eadem, idem  (gen:  eiusdem , dat:  eidem ) demonstrative indicating the same particular: the same, the very same, the selfsame, identical
sic;sīc near demonstrative of means or manner: in this way, in such a way, thus, like so, in the following manner
quoties;quotiēs question word for frequency: how many times? how often?
ita;ita far demonstrative of means or manner: in that way, so, thus, thusly, like that, such as that
ullus;ūllus, a, um  (gen:  ūllius , dat:  ūllī ) indefinite adjective used with negative: any, any at all, one
tamen;tamen emphatic adverb of contrast: nevertheless, nonetheless, yet
cotidie;cotīdiē adverb indicating daily frequency: on every day, every day, daily
minus;minus to a lesser extent: less
minus;minus, n.  (gen:  minoris ) a lesser quantity: less
plus;plūs, n.  (gen:  plūris ) a greater quantity: more
erga;ergā  (+ acc.) preposition showing the direction of an emotion: towards, felt toward, for
mox;mox a short time in the future: soon, presently, briefly
magis;magis to a greater extent: more, more so
raro;rārо̄ at an infrequent interval: rarely, infrequently
cras;crās on the day after today: on the morrow, tomorrow
adversus;adversus  (+ acc) preposition showing orientation in a direction: towards, turned towards, heading towards, against, in the face of
profecto;profectо̄ adverb emphasizing that the attending statement is true in fact: actually, in fact, as you may be assured
minime;
una;ūnā adverb indicating oneness: as one, together
aliquis;"aliquis ,  aliqua ,  aliquid  (gen:  alicuius , dat:  alicui ) indefinite pronoun: someone, somebody; (neuter) something"
interim;
postquam;postquam  (+ clause w/ ind. verb) after the time in which: after
denuo;dēnuо̄ shows a return to a prior state: anew, back again, afresh, once more
subito;subitо̄ in an unexpected manner: suddenly, without warning, all of the sudden
continuo;continuо̄ with no time intervening: immediately, immediately thereafter, without delay, without hesitation
certo;certо̄ with great confidence:  for sure, for certain, with certainty
primo;prīmо̄ at a point in the beginning: at first, in the beginning
valde;valdē (lit.) in a mighty way: to a great degree, exceedingly, very much, mightily
aliter;aliter in another manner than has been mentioned: in a different way, in another way, differently
intus;intus adverb meaning in some place: inside, indoors, within
etsi;etsī conjunction introducing a subordinate clause in contrast to the main clause: even though, although, despite the fact that
ceterum;cēterum introduces a remaining idea or afterthought: what is more, as for the rest, it remains for me to say, what's more, well anyways, oh...and
forte;forte not according to any plan but that of fate itself: by chance, perchance, as it so happened, by sheer luck
quotannis;quotannīs once on each year: once per year, yearly, every year
olim;"о̄lim at a time either in the distant past or distant future: (past) once, once upon a time, long ago; (future) someday, at some point, eventually"
ibi;ibi neutral demonstrative adverb of location: in the place, in that place, there 
illuc;illūc far demonstrative of destination: to that place, to yonder place, thither, over yonder (as a destination)
huc;hūc near demonstrative adverb of destination: to this place, to here, hither
brevi;brevī in a short time from now: in a moment, soon, shortly, presently
quisquam;quisquam indefinite pronoun to be used with negative: (not) anybody, (not) anyone
sursum;sūrsum in an upward direction: upward, upwards, up, skyward, from below
deorsum;deorsum in a downward direction: downward, down, from above, from on high
haud;haud negative adverb used to negate only the following word: not, hardly, by no means
iste;"iste, ista, istud  (gen:  istius , dat:  istī ) demonstrative indicating location near you: that of yours, that there, your 
"
scilicet;scīlicet adverb indicating that the attendant information is no surprise: of course, obviously, as everyone knows, doubtless
antea;anteā indicates a time before the time under discussion: previously, before that, in former times, before this
postea;posteā indicates a time after the time under discussion: afterwards, after this, subsequently
prius;prius indicates a time before some point of reference (quam): earlier than, previous to
tandem;tandem indicates the arrival of something long awaited or anticipated: finally, at last, and lastly
nuper;nuper at a time in the near past: recently, just, just now, not long ago
foris;forīs location out of doors: outside, in the open
foras;forās destination out of a building: outside, out of doors, out
sicut;sīcut introduces a simile: like, as, in the same way as
illinc;illīnc far demonstrative of origin: from that place, from thence, thence, from that place, from there
hinc;hinc near demonstrative of origin: from this place, from here, from hence, hence
nam;nam enclitic particle emphasizing a question word: in the world, on earth, in the heck
fortasse;fortasse adverb showing that the attendant sentence is only a possiblity: perhaps, maybe
umquam;umquam indefinite adverb of time used with negative: (not) ever, (not) at any time
posthac;posthāc indicates a time after the present: after this, after that, afterwards
antehac;antehāc indicates a time before the present: before now, before this, previously, before
heri;herī on the day before today: yesterday
paene;paene indicates that something is close to true, but comes short: nearly, almost, just shy of
quidem;quidem makes the sentence hinge on the preceding word: (raised inflection for previous word)
tamquam;tamquam introduces a simile: like, as, as if
quoniam;quoniam conjunction introducing a clause answering the question why: because, for the reason that, as
verum;vērum conjunction introducing something in contrast to the previous: truth be told, but, however
sin;sīn introduces an alternative condition: but if, if however, then again if
trans;trāns over the entire width of something: across, over top
quidam;quīdam ,  quaedam ,  quoddam  (gen:  cuiusdam , dat:  cuidam ) adjective introducing something new, not mentioned previously: a certain, a, a ... (you haven't heard about yet)
parum;parum not in sufficient quantity: not enough, too little, insufficient
denique;dēnique indicates time at the end of a series: at last, in the last place, finally, in the end
circa;circā indicates position or movement in a circle: around, encircling, about
prae;"prae  (+ abl.) shows position in front of, or sometimes causation: (position) in front of, before; (causation) because of, on account of, for"
